city_risk,rainfall,temperature,aqi,work_hours,season,disruption
0.65,0.37,0.03,0.94,8.22,1,1
0.59,0.99,0.54,0.47,11.16,1,1
0.78,0.93,0.2,0.04,10.0,1,1
0.41,0.51,0.72,0.17,6.97,1,0
0.36,0.6,0.57,0.38,7.27,0,0
0.61,0.18,0.19,0.7,7.73,0,0
0.79,0.76,0.93,0.45,4.76,0,1
0.52,0.83,0.82,0.56,9.21,1,1
0.78,0.22,0.31,0.28,11.14,0,0
0.6,0.49,0.19,0.09,11.28,0,0
0.65,0.48,0.94,0.7,10.78,1,1
0.47,0.33,0.49,0.29,7.08,1,0
0.57,0.71,0.93,0.23,7.76,1,1
0.88,0.41,0.39,0.76,9.27,1,0
0.77,0.18,0.74,0.1,9.28,1,0
0.4,0.32,0.9,0.41,11.8,0,1
0.46,0.55,0.28,0.53,10.67,1,0
0.73,0.21,0.7,0.14,10.66,0,0
0.54,0.3,0.68,0.75,10.11,1,0
0.43,0.94,0.86,0.64,4.82,0,1
0.86,0.83,0.95,0.38,9.22,1,1
0.47,0.25,0.66,0.2,11.31,1,0
0.82,0.85,0.49,0.34,8.62,0,1
0.33,0.67,0.69,0.49,5.42,1,0
0.65,0.58,0.0,0.7,4.9,0,0
0.81,0.78,0.02,0.76,10.29,1,1
0.69,0.63,0.12,0.8,10.23,1,0
0.86,0.93,0.91,0.16,5.48,1,1
0.82,0.07,0.39,0.37,11.5,1,0
0.63,0.38,0.05,0.52,6.4,1,0
0.9,0.87,0.7,0.48,8.31,0,1
0.56,0.68,0.74,0.9,11.28,0,1
0.47,0.29,0.66,0.51,8.74,0,0
0.57,0.88,0.05,0.4,6.68,1,1
0.3,0.6,0.99,0.16,6.85,0,1
0.84,0.18,0.75,0.23,6.95,1,0
0.49,0.51,0.04,0.72,10.32,0,0
0.44,0.86,0.39,0.63,10.75,1,1
0.41,0.97,0.63,0.84,7.08,0,1
0.38,0.89,0.19,0.09,9.95,0,1
0.75,0.36,0.59,0.17,4.89,1,0
0.68,0.01,0.26,0.03,10.07,1,0
0.75,0.14,0.8,0.31,8.36,0,0
0.56,0.14,0.8,0.04,7.01,1,0
0.52,0.08,0.11,0.3,11.79,0,0
0.63,0.92,0.96,0.74,8.38,0,1
0.81,0.39,0.61,0.13,8.83,0,0
0.55,0.55,0.19,0.23,4.13,0,0
0.61,0.0,0.15,0.07,11.99,0,0
0.88,0.31,0.49,0.28,9.58,1,0
0.74,0.43,0.99,0.6,9.95,0,1
0.53,0.68,0.53,0.32,10.12,0,0
0.41,0.13,0.57,0.25,9.41,1,0
0.31,0.27,0.05,0.13,6.44,0,0
0.6,0.68,0.68,0.62,9.38,0,0
0.31,1.0,0.42,0.18,4.34,1,1
0.4,0.09,0.29,0.85,5.71,1,1
0.89,0.58,0.91,0.83,4.7,0,1
0.84,0.17,0.47,0.58,11.71,1,0
0.73,0.25,0.49,0.18,6.57,1,0
0.69,0.76,0.17,0.75,5.14,1,1
0.51,0.81,0.81,0.76,4.35,1,1
0.68,0.83,0.13,0.44,8.22,1,1
0.3,0.11,0.02,0.17,11.86,1,0
0.65,0.38,0.44,0.06,4.66,1,0
0.75,0.76,0.42,0.43,5.41,1,1
0.89,0.34,0.87,0.95,8.01,0,1
0.87,0.2,0.94,0.56,8.44,0,1
0.62,0.8,0.61,0.48,11.69,0,1
0.36,0.69,0.87,0.57,11.99,1,1
0.37,0.1,0.55,0.81,4.76,0,1
0.69,0.48,0.78,0.24,9.19,1,0
0.56,0.66,0.06,0.28,8.27,0,0
0.9,0.67,0.65,0.84,6.18,1,1
0.64,0.6,0.21,0.45,11.77,0,0
0.43,0.71,0.01,0.73,5.81,0,1
0.85,0.11,0.2,0.95,11.9,1,1
0.86,0.74,0.41,0.84,6.69,1,1
0.73,0.2,0.57,0.64,8.85,1,0
0.34,0.01,0.08,0.35,5.83,1,0
0.41,0.23,0.65,0.32,10.75,0,0
0.33,0.09,1.0,0.82,11.64,0,1
0.88,0.72,0.08,0.06,7.85,0,1
0.48,0.57,0.86,0.39,6.15,0,1
0.3,0.88,0.01,0.62,9.37,0,1
0.42,0.36,0.43,0.65,5.09,1,0
0.36,0.41,0.03,0.39,7.09,1,0
0.57,0.56,0.6,0.59,5.48,1,0
0.61,0.08,0.17,0.55,11.7,1,0
0.37,0.36,0.29,0.17,8.17,0,0
0.86,0.24,0.9,0.78,7.88,1,1
0.64,0.44,0.91,0.37,7.2,0,1
0.35,0.32,0.16,0.04,9.27,0,0
0.54,0.38,0.93,0.72,11.97,0,1
0.8,0.79,0.47,0.37,6.16,0,1
0.37,0.07,0.03,0.53,4.88,0,0
0.43,0.63,0.26,0.95,8.47,1,1
0.76,0.4,0.81,0.22,4.42,0,0
0.47,0.54,0.87,0.42,9.95,1,1
0.76,0.46,0.75,0.74,4.63,0,0
0.86,0.1,0.36,0.82,10.35,1,1
0.31,0.8,0.38,0.15,12.0,1,1
0.89,0.43,0.67,0.43,5.72,1,0
0.63,0.11,0.08,0.51,8.1,1,0
0.8,0.8,0.34,0.22,6.91,1,1
0.4,0.88,0.93,0.3,8.99,1,1
0.76,0.02,0.0,0.85,9.03,1,1
0.4,0.15,0.49,0.14,6.78,0,0
0.46,0.52,0.6,0.41,8.82,1,0
0.49,0.6,0.89,0.57,6.24,0,1
0.9,0.57,0.95,0.29,6.47,0,1
0.54,0.99,0.31,0.89,10.16,0,1
0.54,0.72,0.07,0.86,7.15,0,1
0.69,0.96,0.65,0.13,4.2,0,1
0.63,0.34,0.36,0.11,9.85,1,0
0.72,0.41,0.19,0.31,8.55,0,0
0.32,0.5,0.22,0.3,5.61,1,0
0.41,0.35,0.31,0.52,7.12,0,0
0.51,0.94,0.45,0.88,6.98,1,1
0.33,0.13,0.14,0.77,7.3,1,0
0.7,0.95,0.29,0.2,7.38,1,1
0.62,0.23,0.65,0.12,10.16,0,0
0.65,0.59,0.8,0.99,6.42,1,1
0.35,0.09,0.77,0.65,8.72,1,0
0.4,0.71,0.9,0.25,11.92,0,1
0.84,0.86,0.51,0.8,11.05,1,1
0.84,0.17,0.57,0.66,9.26,1,0
0.69,0.37,0.62,0.11,7.62,1,0
0.51,0.78,0.07,0.19,11.61,1,1
0.84,0.47,0.89,0.98,9.23,0,1
0.55,0.85,0.73,0.95,11.79,0,1
0.32,0.52,0.59,0.78,5.35,0,0
0.31,0.35,0.78,0.2,4.18,1,0
0.39,0.74,0.0,0.39,9.24,1,1
0.75,0.26,0.86,0.75,11.9,0,1
0.89,0.73,0.63,0.23,10.23,0,1
0.46,0.28,0.07,0.37,4.99,0,0
0.68,0.09,0.75,0.64,6.7,1,0
0.32,0.05,0.54,0.84,11.62,0,1
0.6,0.74,0.09,0.27,6.48,0,1
0.55,0.91,0.99,0.4,11.14,1,1
0.56,0.74,0.42,0.16,8.22,1,1
0.88,0.72,0.27,0.19,9.98,1,1
0.53,0.74,0.61,0.19,8.05,1,1
0.4,0.02,0.92,0.98,6.74,0,1
0.84,0.15,0.76,0.99,11.11,0,1
0.55,0.76,0.56,0.93,9.69,0,1
0.82,0.65,0.69,0.01,11.19,1,0
0.54,0.19,0.92,0.23,5.23,1,1
0.67,0.23,0.16,0.17,11.35,0,0
0.54,0.58,0.95,0.39,4.17,0,1
0.84,0.61,0.71,0.4,5.14,0,0
0.41,0.17,0.4,0.42,10.19,1,0
0.74,0.06,0.86,0.53,5.03,1,1
0.53,0.87,0.23,0.49,6.43,1,1
0.52,0.03,0.34,0.65,10.65,0,0
0.41,0.15,0.72,0.29,5.06,0,0
0.44,0.35,0.19,0.24,7.88,0,0
0.7,0.34,0.34,0.56,4.62,1,0
0.86,0.46,0.46,0.38,11.57,1,0
0.69,0.73,0.58,0.16,10.39,1,1
0.45,0.83,0.36,0.83,11.23,1,1
0.52,0.31,0.69,0.77,10.91,0,0
0.34,0.43,0.6,0.53,9.56,1,0
0.38,0.83,0.69,0.9,5.07,1,1
0.85,0.81,0.64,0.67,7.88,0,1
0.41,0.9,0.61,0.35,4.48,1,1
0.37,0.22,0.36,0.3,4.05,0,0
0.47,0.68,0.74,0.62,5.64,1,0
0.63,0.13,0.17,0.36,11.78,1,0
0.81,0.32,0.17,0.6,9.48,0,0
0.5,0.38,0.14,0.89,8.63,1,1
0.68,0.05,0.7,0.26,6.58,1,0
0.81,0.5,0.68,0.56,11.33,0,0
0.43,0.96,0.14,0.31,10.17,0,1
0.68,0.2,0.39,0.19,5.19,1,0
0.83,0.3,0.91,0.21,6.8,0,1
0.34,0.8,0.79,0.8,5.83,1,1
0.8,0.5,0.99,0.77,5.72,1,1
0.66,0.25,0.2,0.28,11.47,0,0
0.67,0.84,0.15,0.6,7.71,1,1
0.43,0.7,0.08,0.3,5.53,0,0
0.61,0.09,0.6,0.04,4.65,1,0
0.54,0.74,0.58,0.57,6.34,1,1
0.83,0.59,0.31,0.4,5.67,1,0
0.34,0.31,0.95,0.59,6.07,0,1
0.6,0.6,0.87,0.89,8.76,0,1
0.35,0.18,0.76,0.2,4.26,1,0
0.55,0.54,0.56,0.03,5.1,0,0
0.46,0.41,0.94,0.44,4.03,1,1
0.67,0.96,0.92,0.68,5.15,0,1
0.45,0.32,0.65,0.32,7.74,0,0
0.68,0.22,0.04,0.36,9.36,0,0
0.79,0.98,0.54,0.88,9.86,1,1
0.58,0.57,0.89,0.98,4.87,1,1
0.84,0.01,0.32,0.89,9.88,0,1
0.88,0.87,0.94,0.55,8.38,1,1
0.73,0.25,0.51,0.64,4.64,0,0
0.51,0.07,0.48,0.05,6.57,1,0
0.52,0.29,0.42,0.6,5.18,1,0
0.56,0.71,0.19,0.86,7.61,1,1
0.53,0.31,0.63,0.48,4.54,0,0
0.42,0.72,0.91,0.56,7.66,1,1
0.69,0.22,0.25,0.67,10.84,1,0
0.82,0.66,0.09,0.99,6.97,1,1
0.67,0.28,0.54,0.15,8.63,1,0
0.4,0.61,0.36,0.4,9.74,0,0
0.84,0.17,0.7,0.22,5.84,1,0
0.42,0.22,0.95,0.04,8.29,0,1
0.46,0.36,0.94,0.05,7.57,0,1
0.32,0.45,0.44,0.84,7.64,0,1
0.32,0.21,0.65,0.31,5.0,0,0
0.59,0.66,0.87,0.58,7.58,0,1
0.81,0.73,0.76,0.75,10.61,1,1
0.49,0.92,0.91,0.32,7.79,1,1
0.82,0.99,0.69,0.5,6.86,0,1
0.88,0.13,0.21,0.14,8.78,0,0
0.36,0.13,0.8,0.99,4.84,1,1
0.39,0.74,0.92,0.95,5.97,1,1
0.44,0.45,0.09,0.68,5.15,1,0
0.89,0.26,0.27,0.02,8.97,1,0
0.84,0.92,0.9,0.28,11.49,0,1
0.51,0.21,0.5,0.92,10.22,0,1
0.61,0.9,0.65,0.53,4.97,0,1
0.31,0.1,0.41,0.71,8.19,0,0
0.34,0.25,0.2,0.56,5.12,0,0
0.81,0.76,0.46,0.59,8.61,1,1
0.65,0.15,0.89,0.92,7.57,1,1
0.48,0.63,0.11,0.86,7.75,1,1
0.71,0.88,0.14,0.21,9.92,1,1
0.79,0.51,0.03,0.97,4.14,0,1
0.4,0.46,0.97,0.59,4.21,1,1
0.34,0.03,0.56,0.78,8.72,0,0
0.78,0.41,0.1,0.9,7.31,1,1
0.65,0.56,0.31,0.55,7.14,0,0
0.31,0.08,0.6,0.82,6.27,1,1
0.73,0.28,0.55,0.32,6.64,0,0
0.68,0.94,0.32,0.2,10.03,1,1
0.43,0.23,0.21,0.52,7.87,1,0
0.48,0.61,0.84,0.91,8.12,0,1
0.49,0.54,0.51,0.77,11.42,1,0
0.73,0.51,0.53,0.8,8.48,0,0
0.53,0.71,0.55,0.15,9.2,0,1
0.57,0.47,0.73,0.96,5.07,1,1
0.85,0.0,0.54,0.48,9.93,0,0
0.49,0.27,0.01,0.4,4.34,1,0
0.8,0.18,0.49,0.82,4.87,1,1
0.61,0.67,0.53,0.68,4.02,1,0
0.9,0.36,0.73,0.62,11.33,0,0
0.84,0.99,0.26,0.04,11.0,1,1
0.42,0.41,0.43,0.05,8.87,0,0
0.88,0.2,0.07,0.21,6.68,1,0
0.7,0.29,0.74,0.51,7.47,1,0
0.41,0.85,0.7,0.54,10.57,1,1
0.74,0.78,0.94,0.99,7.01,1,1
0.48,0.13,0.72,0.08,6.47,1,0
0.58,0.11,0.37,0.77,4.8,1,0
0.57,0.11,0.88,0.89,7.51,1,1
0.35,0.79,0.58,0.68,10.53,1,1
0.38,0.21,0.29,0.61,9.0,1,0
0.65,0.86,0.1,0.05,9.45,1,1
0.73,0.1,0.51,0.15,6.24,0,0
0.75,0.75,0.3,0.91,8.85,1,1
0.59,0.5,0.94,0.72,5.59,1,1
0.45,0.92,0.2,0.26,5.99,1,1
0.87,0.98,0.75,0.36,9.93,0,1
0.3,0.63,0.9,0.01,7.5,1,1
0.69,0.48,0.28,0.29,11.89,0,0
0.38,0.06,0.51,0.02,5.25,1,0
0.51,0.83,0.3,0.88,8.55,1,1
0.39,0.48,0.71,0.23,4.66,0,0
0.33,0.83,0.86,0.61,11.52,1,1
0.8,0.44,0.14,0.54,11.59,0,0
0.78,0.67,0.91,0.54,9.99,0,1
0.76,0.22,0.0,0.21,11.9,1,0
0.51,0.91,0.32,0.27,6.11,0,1
0.7,0.36,0.96,0.31,8.31,1,1
0.4,0.28,0.45,0.42,7.64,0,0
0.83,0.66,0.68,0.97,10.77,1,1
0.65,0.35,0.37,0.13,11.9,0,0
0.47,0.61,0.31,0.11,9.23,0,0
0.86,0.89,0.74,0.62,7.5,1,1
0.65,0.95,0.27,0.8,4.0,0,1
0.84,0.94,0.96,0.01,6.01,0,1
0.69,0.43,0.37,0.08,5.44,0,0
0.33,0.07,0.95,0.01,7.87,0,1
0.38,0.61,0.76,0.37,6.92,0,0
0.78,0.84,0.14,0.33,8.66,1,1
0.81,0.5,0.32,0.3,11.77,0,0
0.64,0.94,0.12,0.65,9.82,1,1
0.67,0.3,0.21,0.1,8.68,1,0
0.54,0.9,0.3,0.45,5.73,1,1
0.88,0.57,0.42,0.28,4.54,0,0
0.48,0.17,0.57,0.17,11.32,1,0
0.72,0.24,0.02,0.47,9.59,1,0
0.44,0.21,0.06,0.34,6.23,1,0
0.32,0.96,0.46,0.61,7.68,1,1
0.45,0.93,0.02,0.68,6.64,1,1
0.4,0.28,0.77,0.12,10.03,1,0
0.56,0.6,0.01,0.29,4.14,1,0
0.82,0.58,0.49,0.76,10.03,1,0
0.45,0.27,0.83,0.21,7.34,1,0
0.74,0.67,0.54,0.77,4.64,1,0
0.32,0.12,0.68,0.74,4.68,0,0
0.52,0.25,0.05,0.75,5.66,1,0
0.33,0.47,0.49,0.91,9.93,0,1
0.56,0.37,0.24,0.73,9.03,1,0
0.63,0.71,0.85,0.11,8.04,1,1
0.54,0.99,0.56,0.66,4.25,1,1
0.56,0.8,0.17,0.27,9.61,1,1
0.69,0.12,0.73,0.51,4.98,1,0
0.37,0.04,0.51,0.58,7.4,1,0
0.57,0.19,0.82,0.5,6.74,1,0
0.36,0.12,0.81,0.17,11.43,0,0
0.88,0.53,1.0,0.11,9.17,0,1
0.77,0.08,0.67,0.07,10.86,0,0
0.36,0.47,0.18,0.75,9.04,0,0
0.78,0.59,0.93,0.9,5.52,1,1
0.77,0.54,0.87,0.71,11.01,1,1
0.54,0.73,0.51,0.18,6.25,0,1
0.41,0.35,0.26,0.45,5.05,0,0
0.4,0.36,0.01,0.87,5.84,0,1
0.56,0.08,0.21,0.67,8.84,1,0
0.84,0.24,0.88,0.74,4.42,0,1
0.47,0.23,0.75,0.59,9.79,0,0
0.42,0.32,0.73,0.37,10.93,1,0
0.89,0.04,0.83,0.65,9.13,1,0
0.84,0.84,0.12,0.89,11.3,0,1
0.56,0.15,0.19,0.04,4.89,1,0
0.48,0.92,0.56,0.77,9.64,1,1
0.89,0.97,0.84,0.85,11.24,0,1
0.84,0.6,0.31,0.4,6.98,0,0
0.74,0.03,0.4,0.86,4.95,1,1
0.67,0.44,0.12,0.07,9.21,0,0
0.73,0.02,0.7,0.04,4.46,0,0
0.7,0.97,0.28,0.96,11.83,1,1
0.55,0.59,0.49,0.73,6.13,0,0
0.71,0.79,0.84,0.81,9.17,1,1
0.85,0.46,0.35,0.38,11.54,1,0
0.68,0.85,0.36,0.44,11.24,1,1
0.4,0.47,0.06,0.2,8.41,1,0
0.63,0.2,0.24,0.71,11.61,1,0
0.67,0.57,0.52,0.6,8.74,0,0
0.59,0.17,0.88,0.13,10.89,0,1
0.35,0.27,0.23,0.86,9.9,0,1
0.86,0.79,0.97,0.84,8.81,1,1
0.56,0.12,0.38,0.37,5.07,0,0
0.88,0.08,0.35,0.46,8.32,0,0
0.66,0.81,0.63,0.67,8.46,0,1
0.82,0.96,0.14,0.61,10.25,1,1
0.7,0.3,0.75,0.03,10.18,1,0
0.42,0.88,0.96,0.4,8.77,0,1
0.75,0.71,0.46,0.84,4.93,1,1
0.51,0.11,0.12,0.64,9.9,1,0
0.71,0.26,0.99,0.23,11.06,1,1
0.39,0.18,0.07,0.53,5.16,0,0
0.37,0.21,0.49,0.02,4.97,0,0
0.89,0.17,0.27,0.94,9.21,0,1
0.47,0.2,0.21,0.71,11.14,0,0
0.33,0.57,0.27,0.49,6.74,1,0
0.37,0.57,0.68,0.27,7.83,0,0
0.57,0.33,0.09,0.66,8.89,0,0
0.8,0.11,0.57,0.84,7.52,1,1
0.52,0.79,0.01,0.9,11.46,1,1
0.64,0.49,0.92,1.0,9.24,0,1
0.33,0.81,0.92,0.06,5.64,0,1
0.67,0.23,0.42,0.16,5.13,1,0
0.4,0.71,0.13,0.52,10.44,0,1
0.42,0.47,0.55,0.78,7.1,1,0
0.61,0.38,0.17,0.13,4.39,1,0
0.34,0.68,0.34,0.74,5.75,0,0
0.61,0.67,0.21,0.98,10.55,0,1
0.63,0.94,0.7,0.01,10.88,0,1
0.53,0.15,0.69,0.05,10.83,1,0
0.83,0.98,0.52,0.02,6.26,1,1
0.64,0.24,0.49,0.77,8.13,0,0
0.35,0.64,0.56,0.82,4.02,0,1
0.83,0.14,0.64,0.06,6.36,1,0
0.61,0.67,0.69,0.61,8.19,0,0
0.9,0.55,0.18,0.65,8.13,0,0
0.8,0.14,0.94,0.72,6.59,0,1
0.59,0.07,0.22,0.76,7.64,0,0
0.56,0.73,0.81,0.09,7.4,1,1
0.42,0.19,0.99,0.87,6.0,0,1
0.39,0.25,0.57,0.02,11.94,1,0
0.7,0.51,0.31,0.63,5.65,1,0
0.38,0.6,0.01,0.24,4.96,0,0
0.54,0.83,0.76,0.36,10.52,1,1
0.43,0.36,0.6,0.98,11.08,1,1
0.41,0.77,0.83,0.5,8.51,0,1
0.57,0.59,0.2,0.29,5.13,1,0
0.48,0.76,0.52,0.1,9.89,1,1
0.38,0.84,0.0,0.64,10.25,0,1
0.37,0.45,0.93,0.13,6.82,0,1
0.47,0.94,0.77,0.45,6.51,0,1
0.53,0.06,0.68,0.44,10.43,1,0
0.88,0.01,0.36,0.08,7.62,0,0
0.56,0.85,1.0,0.7,9.62,0,1
0.84,0.67,0.33,0.96,4.89,1,1
0.74,0.65,0.95,0.02,10.22,1,1
0.39,0.01,0.63,0.03,4.65,0,0
0.82,1.0,0.91,0.92,4.35,1,1
0.7,0.28,0.23,0.29,11.17,0,0
0.83,0.33,0.51,0.7,7.25,0,0
0.8,0.1,0.75,0.55,4.51,0,0
0.8,0.21,0.51,0.53,4.53,0,0
0.46,0.21,0.69,0.13,9.55,0,0
0.49,0.44,0.47,0.87,4.29,0,1
0.84,0.56,0.65,0.72,8.59,0,0
0.68,0.49,0.46,0.75,5.56,1,0
0.85,0.25,0.89,0.52,6.02,1,1
0.69,0.21,0.82,0.09,10.72,0,0
0.45,0.61,0.54,0.73,9.36,0,0
0.61,0.79,0.42,0.12,10.66,1,1
0.81,0.86,0.93,0.09,4.96,0,1
0.86,0.91,0.08,0.63,8.02,1,1
0.37,0.42,0.41,0.75,11.71,1,0
0.89,0.18,0.14,0.32,9.68,0,0
0.7,0.47,0.8,0.68,11.13,0,0
0.88,0.24,0.4,0.27,10.28,1,0
